account_id,account_name,tenant_id,health_score,health_segment,revenue,neediness_score,segment,account_level,industry,tad_score,tech_count,neediness_category
0011a00000rOjH9AAK,doorforce,458443556,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000WVqzUAAT,comfortsolutionsheating,1371645091,33,Red,100000,8,Residential,Corporate,Roofing,0,5,High
001Pg00000RmQbmIAF,oh_cswanson,4235893653,58,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000caO6GAAU,magicmaintenanceinc2,4244839703,73,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYSaQAP,acehandyman_redwood,2362916117,88,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYSrQAP,acehandyman_nwarkansas,2575711965,91,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000yJrCXIA0,agdlouisville18,4224955418,76,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000AjvD1IAJ,buildtolastinvestmentsllcdbamistersparkyofconroetx,3093710357,84,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001JIYSoQAP,acehandyman_fayetteville,2751338365,85,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000PSJHTIA5,t1p_brandonklosterman,3922142860,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000W9Q7NAAV,apexheatingandair,4189488680,64,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000VUlLxAAL,modernmechanical,476323000,89,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000QQR2PIAX,t1p_michaelbolster,3927926288,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000OjvcbIAB,t1p_jeremytaylor,3911939549,73,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000PTzjFIAT,t1p_deonshearn,3927926190,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000W9YVcAAN,rycor,770611779,74,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000CYk2VAAT,fourseasonsplumbing,104014339,91,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000bVN2BIAW,morrisonelectricalincdbafactor4electric,4226421909,45,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg000011lTP2IAM,drpoosanitation,4288239381,45,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000W9SisAAF,foleymechanicalinc,1062629801,37,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011a00000kyCPTAA2,jermsplumbingheating,470907418,97,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000atQrZIAU,patriotcomfortservicesllc1,4451408410,88,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000fLSSuAAO,warrenindustriesinc,599766470,91,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg00000Bca7NIAR,masonprivatelocatingllc,3176815769,80,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000VUk7rAAD,alphaplumbing,902764615,83,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P000019cnQyQAI,americanallydrainsplumbingllc,934584361,68,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
